"Timestamp","Ikä?","Sukupuoli?","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kai","Olen käynyt yhteislenkillä","Yhteislenkki oli ","Minulle käteviä treenipaikkoja olisivat ","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa"
"2018/09/23 5:09:08 PM GMT+3","40-50","nainen","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;kisaaminen","Ajanpuute;Kaverin puute","En","","Laajis;Halssila;Kanavuori;Kuokkala;Sippulanniemi;Keljonkangas;Myllyjärvi","","","","","","","12-15","12-15","2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa","kuukausi etukäteen"
"2018/09/23 5:11:07 PM GMT+3","40-50","nainen","maratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Sippulanniemi","pyörällä;omalla autolla","","","","5-7","5-7","7-10;12-15","7-10;12-15","2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa;Erilaisia kimppalenkkivaihtoehtoja eritasoisten juoksijoiden tarpeisiin. 😊","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/23 5:11:40 PM GMT+3","40-50","nainen","maratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kaverin puute;Kulkuyhteydet;Laiskuus","Joo","minun tasolleni liian nopeaa","Halssila","omalla autolla","","17-19","17-19","17-19","17-19","12-15;10-12;15-17;17-19","12-15;10-12;15-17;17-19","30 min;45 min;1 h;1 h 30 min;2 h;2 h 30 min","maltillinen hölkkä hitaimman mukaan;Olen hitaampi kuin etana tervassa ja se on suurin kynnys lenkeille. Toinen haaste on perheen ruoka-ajat, jolloin olisi oltava kotona.","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:13:32 PM GMT+3","40-50","mies","ultran","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori;Halssila;Kanavuori;Kuokkala;Tiituspohjan alue","juoksen alkulämpät;linkillä;toisen kyydillä;omalla autolla","","","","5-7","","7-10","7-10","1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää"
"2018/09/23 5:14:50 PM GMT+3","20-30","nainen","5km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","omalla autolla","17-19","","17-19","17-19","17-19","","","1 h;1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;juurakkoa;suota","muutama päivä aiemmin riittää"
"2018/09/23 5:15:46 PM GMT+3","20-30","mies","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen pätkä vaellusreitistöllä","Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Sippulanniemi;Keljonkangas","pyörällä","","","","","","","","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää"
"2018/09/23 5:17:24 PM GMT+3","20-30","nainen","10km lenkin","yli viidesti viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Ajanpuute;Laiskuus","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","","17-19","17-19","17-19","17-19","17-19","12-15;10-12;15-17;17-19","12-15;10-12;15-17;17-19","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/23 5:18:53 PM GMT+3","30-40","nainen","10km lenkin;puolimaratonin","kolmesti tai neljästi viikossa","kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","pyörällä;omalla autolla","","","","5-7","","5-7","5-7","1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:20:22 PM GMT+3","30-40","nainen","10km lenkin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","","Laiskuus","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","pyörällä;omalla autolla","17-19;19-21","","","","12-15;10-12;15-17;17-19","","12-15;10-12;15-17;17-19","1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä","muutama päivä aiemmin riittää"
"2018/09/23 5:20:32 PM GMT+3","20-30","nainen","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava;ihme rymyämistä","Laajis;Touruvuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas","pyörällä","","19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19","7-10;12-15;10-12;15-17;17-19","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;juurakkoa;suota","muutama päivä aiemmin riittää"
"2018/09/23 5:20:38 PM GMT+3","30-40","nainen","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen","Kaverin puute;Laiskuus","Joo","ihme rymyämistä;Silti mahtavaa","Laajis;Touruvuori;Halssila;Sippulanniemi","pyörällä;omalla autolla","","","17-19","17-19","","7-10","","1 h;1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;paljon verttimetrejä","muutama päivä aiemmin riittää"
"2018/09/23 5:25:50 PM GMT+3","20-30","mies","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot","Ajanpuute;Kaverin puute;Laiskuus","En","","Laajis;Touruvuori","omalla autolla","19-21","17-19;19-21","19-21","17-19;19-21","15-17;17-19;19-21","12-15","12-15","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;rymypätkiä","viikkoa aiemmin"
"2018/09/23 5:27:22 PM GMT+3","20-30","mies","1km lenkin;5km lenkin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria","En uskalla kulkea uusilla reiteillä yksin;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Kuokkala;Keskusta","pyörällä","15-17","15-17","15-17","15-17","15-17","12-15;10-12;15-17;17-19","12-15;10-12;15-17;17-19","1 h 30 min;2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","paljon verttimetrejä;nelivetopaikkoja;rymypätkiä","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:29:35 PM GMT+3","30-40","mies","ultran","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet","pidempi yhtenäinen pätkä vaellusreitistöllä;polku- tai vuorijuoksu ulkomailla;UTMB skaba","Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Touruvuori;Halssila;Kanavuori","juoksen alkulämpät;omalla autolla","","","17-19","","","7-10","7-10","1 h 30 min;2 h;2 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:30:28 PM GMT+3","20-30","nainen","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;polkujuoksu pohjoisessa suomessa","Kaverin puute;Laiskuus","En","","Laajis;Touruvuori;Halssila;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Asun keskustassa, kimppakyydillä kaikki käy. ","pyörällä","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;12-15;10-12;15-17;17-19;19-21","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää"
"2018/09/23 5:31:07 PM GMT+3","20-30","mies","puolimaratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;päästä podiumille;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","kisaaminen","","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","pyörällä","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","7-10;12-15;10-12","7-10;12-15;10-12","1 h;1 h 30 min;2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa;oksennukseen asti","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","edellisenä päivänä;muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:32:19 PM GMT+3","30-40","nainen","ultran","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori","pyörällä;omalla autolla","","","","","","7-10","7-10","1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua","edellisenä päivänä;muutama päivä aiemmin riittää"
"2018/09/23 5:32:40 PM GMT+3","50-60","mies","puolimaratonin","kolmesti tai neljästi viikossa","lisätä juoksumatkaa","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","","En","EOS kun en VIELÄ käynyt","Halssila;Kanavuori","toisen kyydillä;omalla autolla","15-17;17-19","","15-17;17-19","","","7-10;10-12","7-10;12-15","1 h 30 min;2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:37:59 PM GMT+3","30-40","mies","10km lenkin;puolimaratonin","yleensä kahdesti viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB skaba","Määrärahojen puute;Ajanpuute;Kulkuyhteydet","En","","Laajis;Touruvuori;Halssila;Kuokkala;Keskusta;Sippulanniemi","","","","","","","","","30 min;45 min;1 h;1 h 30 min;2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:39:27 PM GMT+3","30-40","nainen","puolimaratonin;maratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;kisaaminen","En uskalla kulkea uusilla reiteillä yksin","Joo","ihan sopiva kaikin puolin ja mukava","Laajis","juoksen alkulämpät","","","","","","7-10;12-15","7-10;12-15","1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse","vain pieniä mäkiä","muutama päivä aiemmin riittää"
"2018/09/23 5:39:29 PM GMT+3","20-30","nainen","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa","Kaverin puute;Laiskuus","Joo","minun tasolleni liian nopeaa","Laajis;Halssila;Keskusta","pyörällä","","17-19","17-19","17-19","","","","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää"
"2018/09/23 5:44:01 PM GMT+3","30-40","mies","ultran","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;päästä podiumille;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB skaba","Ajanpuute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava;kengät kastui","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","juoksen alkulämpät;toisen kyydillä;omalla autolla","","17-19;19-21","","17-19;19-21","","7-10","7-10","1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;kivikkoa;juurakkoa","viikkoa aiemmin"
"2018/09/23 5:44:33 PM GMT+3","40-50","mies","ultran","kolmesti tai neljästi viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","","Joo","ihan sopiva kaikin puolin ja mukava;Valitsen lenkkini oletetun vauhdin perusteella","","juoksen alkulämpät;toisen kyydillä;omalla autolla","","","","","","","","30 min;45 min;1 h;1 h 30 min;2 h;2 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);Vaihtelevia treenejä ajallisesti ja tehoiltaan.","helppoa neulaspolkua;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa",""
