"Timestamp","Ik√§?","Sukupuoli?","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen v√§hint√§√§n puolituntia kest√§v√§√§ liikuntaa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kai","Olen k√§ynyt yhteislenkill√§","Yhteislenkki oli ","Minulle k√§tevi√§ treenipaikkoja olisivat ","K√§yn treeneiss√§ yleens√§","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenim√§√§r√§n√§ minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielest√§ni","Treenimaaston tulisi sis√§lt√§√§","Treeneist√§ tulisi ilmoittaa"
"2018/09/23 5:44:43 PM GMT+3","30-40","mies","5km lenkin;10km lenkin;maratonin;ultran","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori","toisen kyydillä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","vain pieniä mäkiä;paljon verttimetrejä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:45:23 PM GMT+3","20-30","mies","ultran","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;päästä podiumille","kisaaminen;polku- tai vuorijuoksu ulkomailla;UTMB skaba","Määrärahojen puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","juoksen alkulämpät","","","17-19","","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:49:36 PM GMT+3","30-40","nainen","maratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin ihmisiin ja treenikavereihin","polku- tai vuorijuoksu ulkomailla","","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Muurame","omalla autolla","","","","","","","","1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;oksennukseen asti;Vetotreenit","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:55:27 PM GMT+3","30-40","nainen","maratonin","kolmesti tai neljästi viikossa","voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin","Joo","ihan sopiva kaikin puolin ja mukava;ihme rymyämistä","Laajis","juoksen alkulämpät","17-19","17-19","17-19","17-19","","","","1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 6:00:52 PM GMT+3","40-50","nainen","ultran","yli viidesti viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;pidempi yhtenäinen pätkä vaellusreitistöllä;polku- tai vuorijuoksu ulkomailla","Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava;ihme rymyämistä;kengät kastui;Edelliset ei haittaa","Touruvuori;Halssila;Kanavuori;Heinämäki","pyörällä;toisen kyydillä;omalla autolla","","","","","","","","1 h 30 min;2 h;2 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin"
"2018/09/23 6:07:23 PM GMT+3","40-50","mies","ultran","yli viidesti viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polku- tai vuorijuoksu ulkomailla;UTMB skaba","Määrärahojen puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Kanavuori;Multamäki, Peurunka ","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","10-12;15-17;17-19;19-21;>21","10-12;15-17;17-19;19-21;>21","1 h 30 min;2 h;2 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa;oksennukseen asti","paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa;kuukausi etukäteen"
"2018/09/23 6:11:22 PM GMT+3","30-40","nainen","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Kaverin puute","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Myllyjärvi","omalla autolla;Tulisin kyllä autolla täältä asti","","","","","","12-15","12-15","1 h 30 min;2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","viikkoa aiemmin"
"2018/09/23 6:21:39 PM GMT+3","20-30","nainen","maratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;päästä podiumille;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","kisaaminen;polku- tai vuorijuoksu ulkomailla","","En","","Laajis;Kuokkala;Keskusta","juoksen alkulämpät;pyörällä","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","12-15;10-12;15-17;17-19;19-21","12-15;10-12;15-17;17-19;19-21","1 h;1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa;oksennukseen asti","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä","muutama päivä aiemmin riittää"
"2018/09/23 6:23:30 PM GMT+3","30-40","mies","maratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Laiskuus","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","omalla autolla","","17-19;19-21","","19-21","15-17;17-19;19-21","7-10;12-15;10-12;15-17;17-19;19-21","7-10;12-15;10-12;15-17;17-19;19-21","1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa"
"2018/09/23 6:25:11 PM GMT+3","30-40","nainen","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä","Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava;minun tasolleni liian nopeaa","Laajis;Halssila;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Säykki, Muurame","omalla autolla","","","17-19;19-21","17-19;19-21","17-19;19-21","12-15;10-12;15-17;17-19","12-15;10-12;15-17;17-19","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää"
"2018/09/23 6:35:18 PM GMT+3","30-40","nainen","5km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Kaverin puute;Kulkuyhteydet","En","","Kuokkala;Sippulanniemi;Maltillisen pyöräilymatkan päässä olevat reitit, ja sillä ajatuksella, ettei pyöräily vie mehuja itse juoksemiselta. (Autoton, ajokortiton).","pyörällä","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19;19-21","15-17;17-19;19-21","","45 min;1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 6:38:10 PM GMT+3","30-40","nainen","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria","Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta","pyörällä;omalla autolla","","17-19","17-19","17-19","","","15-17;17-19","45 min;1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","muutama päivä aiemmin riittää"
"2018/09/23 6:38:52 PM GMT+3","20-30","nainen","5km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa","Kaverin puute;Laiskuus","En","","Keljonkangas;Muurame","omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h;1 h 30 min","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa"
"2018/09/23 6:41:38 PM GMT+3","40-50","mies","5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","polku- tai vuorijuoksu ulkomailla;UTMB skaba","Määrärahojen puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","juoksen alkulämpät;pyörällä;toisen kyydillä;omalla autolla","","17-19;19-21","17-19;19-21","17-19;19-21","","5-7;7-10","5-7;7-10","1 h 30 min;2 h;2 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 6:45:49 PM GMT+3","30-40","mies","5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute;Kulkuyhteydet","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","juoksen alkulämpät;toisen kyydillä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","5-7;7-10;12-15;10-12","5-7;7-10;12-15;10-12","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","paljon verttimetrejä;rymypätkiä;kivikkoa;juurakkoa","edellisenä päivänä;muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 6:49:11 PM GMT+3","30-40","nainen","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute","En","","Laajis;Touruvuori","juoksen alkulämpät","","","","","","12-15","12-15","1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","muutama päivä aiemmin riittää"
"2018/09/23 6:50:37 PM GMT+3","30-40","nainen","1km lenkin;5km lenkin;10km lenkin","yleensä kahdesti viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa","Ajanpuute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas","omalla autolla","","","17-19","17-19","17-19","12-15;15-17","12-15;15-17","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;rymypätkiä;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/23 6:55:29 PM GMT+3","40-50","mies","puolimaratonin","kolmesti tai neljästi viikossa","kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;päästä podiumille;tutustua uusiin ihmisiin ja treenikavereihin","kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB skaba","Ajanpuute;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kuokkala;Keskusta;Myllyjärvi","juoksen alkulämpät;omalla autolla","19-21;>21","19-21;>21","19-21;>21","19-21;>21","19-21;>21","19-21;>21","19-21;>21","2 h;2 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","paljon verttimetrejä;nelivetopaikkoja","edellisenä päivänä;muutama päivä aiemmin riittää"
"2018/09/23 7:07:04 PM GMT+3",">60","nainen","5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute;Kulkuyhteydet","Joo","ihan sopiva kaikin puolin ja mukava","Ei ole välia. Kaikki käy.","omalla autolla","","","17-19","","17-19","12-15","","1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","paljon verttimetrejä;nelivetopaikkoja;rymypätkiä","muutama päivä aiemmin riittää"
"2018/09/23 7:12:48 PM GMT+3","30-40","mies","10km lenkin","noin kerran viikossa","nauttia luonnosta;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Ajanpuute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Muurame!","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","10-12;15-17;17-19;19-21","15-17;17-19;19-21","1 h 30 min","maltillinen hölkkä hitaimman mukaan","nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 7:14:39 PM GMT+3","40-50","mies","10km lenkin","yleensä kahdesti viikossa","lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Kuokkala;Sippulanniemi;Myllyjärvi","omalla autolla","5-7;17-19;19-21","5-7","5-7","5-7","5-7;17-19;19-21","7-10;12-15;10-12;15-17;17-19;19-21","7-10;12-15;10-12;15-17;17-19;19-21","2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","edellisenä päivänä"
"2018/09/23 7:23:37 PM GMT+3","40-50","nainen","puolimaratonin;maratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","12-15;10-12;15-17","12-15;10-12;15-17","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/23 7:34:38 PM GMT+3","30-40","nainen","10km lenkin","yleensä kahdesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana","kisaaminen","Laiskuus","En","","Laajis;Touruvuori","pyörällä;omalla autolla","17-19","","","17-19","","","","45 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 7:46:25 PM GMT+3","30-40","nainen","maratonin","yli viidesti viikossa","kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;päästä podiumille;tutustua uusiin ihmisiin ja treenikavereihin","kisaaminen","Ajanpuute","","","","","","","","","","","","","","",""
"2018/09/23 7:50:20 PM GMT+3","30-40","mies","10km lenkin","yleensä kahdesti viikossa","lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen","Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi;Ladunmaja, Mustalampi","omalla autolla","","","19-21","19-21","","","","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;nelivetopaikkoja;juurakkoa;suota","muutama päivä aiemmin riittää"
